ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
513876836/applications/pulumi-examples/multicloud-ts-buckets/Pulumi.yaml,513876836,513876836/applications/pulumi-examples/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
326566148/examples/azure-app-service/Pulumi.yaml,326566148,326566148/examples/azure-app-service,Pulumi,yaml,azure-app-service,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
326566148/examples/azure-static-website/Pulumi.yaml,326566148,326566148/examples/azure-static-website,Pulumi,yaml,azure-static-website,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
475025089/multicloud-ts-buckets/Pulumi.yaml,475025089,475025089/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
446348090/applications/pulumi-examples/multicloud-ts-buckets/Pulumi.yaml,446348090,446348090/applications/pulumi-examples/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
448134476/s3-gcs-web-hosting/Pulumi.yaml,448134476,448134476/s3-gcs-web-hosting,Pulumi,python,s3-gcs-web-hosting,Amazon S3 and Google Cloud Storage static web hosting,python,,,1,0,1,"aws,gcp"
500661930/azure-yaml-static-website/Pulumi.yaml,500661930,500661930/azure-yaml-static-website,Pulumi,yaml,azure-static-website,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
500661930/multicloud-ts-buckets/Pulumi.yaml,500661930,500661930/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
500661930/azure-yaml-app-service/Pulumi.yaml,500661930,500661930/azure-yaml-app-service,Pulumi,yaml,azure-app-service,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-csharp/Pulumi.yaml,278625618,278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-csharp,Pulumi,csharp,${PROJECT},${DESCRIPTION},dotnet,,,1,0,1,"aws,gcp"
278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-python/Pulumi.yaml,278625618,278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-python,Pulumi,python,${PROJECT},${DESCRIPTION},python,,,1,0,1,"aws,gcp"
278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-go/Pulumi.yaml,278625618,278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-go,Pulumi,go,${PROJECT},${DESCRIPTION},go,,,1,0,1,"aws,gcp"
278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-typescript/Pulumi.yaml,278625618,278625618/aws.sns.PlatformApplication.google-cloud-messaging-gcm-typescript,Pulumi,typescript,${PROJECT},${DESCRIPTION},nodejs,,,1,0,1,"aws,gcp"
92832781/others/multicloud-ts-buckets/Pulumi.yaml,92832781,92832781/others/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
204870141/Pulumi.yaml,204870141,204870141,Pulumi,typescript,multicloud,"Deploys a Kubernetes cluster across multiple cloud providers AWS, Azure, GKE and a local KinD cluster.",nodejs,,,1,1,0,"aws,azure"
244393798/03_separate_binaries_and_gocloud/infra/Pulumi.yaml,244393798,244393798/03_separate_binaries_and_gocloud/infra,Pulumi,go,03_separate_binaries_and_gocloud,"The infra needed for the toy server, in AWS, Azure, and GCP",go,,,1,1,1,"aws,azure,gcp"
172081047/content/2020/02/azure-functions-in-google-cloud-run/code/Pulumi.yaml,172081047,172081047/content/2020/02/azure-functions-in-google-cloud-run/code,Pulumi,typescript,gcp-cloudrun,Google Cloud Run example,nodejs,,,0,1,1,"azure,gcp"
359443671/Lesson-5-IaC-With-Pulumi-And-AWS-CDK/labs/pulumi-storage-account/azure-storage-account-python/Pulumi.yaml,359443671,359443671/Lesson-5-IaC-With-Pulumi-And-AWS-CDK/labs/pulumi-storage-account/azure-storage-account-python,Pulumi,python,azure-storage-account-python,Create a storage account with Python in Azure,python,,,1,1,0,"aws,azure"
282083829/multicloud-ts-buckets/Pulumi.yaml,282083829,282083829/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
181199611/examples/aws/Pulumi.yaml,181199611,181199611/examples/aws,Pulumi,typescript,pulumi-az-pipelines-task-aws-example,A minimal AWS TypeScript Pulumi program to demonstrate the use of Pulumi task extension for Azure Pipelines,nodejs,,,1,1,0,"aws,azure"
108589232/azure-yaml-static-website/Pulumi.yaml,108589232,108589232/azure-yaml-static-website,Pulumi,yaml,azure-static-website,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
108589232/multicloud-ts-buckets/Pulumi.yaml,108589232,108589232/multicloud-ts-buckets,Pulumi,typescript,multicloud-ts-buckets,Example showing a single program deploying to both AWS and GCP,nodejs,,,1,0,1,"aws,gcp"
108589232/azure-yaml-app-service/Pulumi.yaml,108589232,108589232/azure-yaml-app-service,Pulumi,yaml,azure-app-service,A static website hosted on AWS S3,yaml,,,1,1,0,"aws,azure"
30042268/2020/02/azure-functions-in-google-cloud-run/code/Pulumi.yaml,30042268,30042268/2020/02/azure-functions-in-google-cloud-run/code,Pulumi,typescript,gcp-cloudrun,Google Cloud Run example,nodejs,,,0,1,1,"azure,gcp"
